"Last Name, First Name",Time,OverAll,Sex Place,DIV,Net Time,"City, State, Country"
Robert Kipkoech Cheruiyot (M28),2:07:35,1,1 / 1,M25-29,2:07:35,KENYA
Daniel Njenga (M30),2:07:40,2,2 / 1,M30-34,2:07:40,KENYA
Jimmy Muindi (M33),2:07:51,3,3 / 2,M30-34,2:07:51,KENYA
Abdi Abdirahman (M29),2:08:56,4,4 / 2,M25-29,2:08:56,USA
Robert Cheboror (M28),2:09:25,5,5 / 3,M25-29,2:09:25,KENYA
Brian Sell (M28),2:10:47,6,6 / 4,M25-29,2:10:47,USA
Japhet Kosgei Kipkorir (M38),2:11:37,7,7 / 1,M35-39,2:11:37,"Eldoret, KENYA"
Benjamin Maiyo (M28),2:11:53,8,8 / 5,M25-29,2:11:53,KENYA
Dejene Berhanu (M25),2:12:27,9,9 / 6,M25-29,2:12:27,ETHIOPIA
Meshack Kosgei Kirwa (M31),2:12:31,10,10 / 3,M30-34,2:12:31,"Eldoret, KENYA"
Thomas Kiplitany (M23),2:13:43,11,11 / 1,M20-24,2:13:43,KENYA
Clint Verran (M31),2:14:23,12,12 / 4,M30-34,2:14:23,USA
Charles Kibiwott (M32),2:15:00,13,13 / 5,M30-34,2:15:00,KENYA
Chad Johnson (M30),2:15:03,14,14 / 6,M30-34,2:15:03,USA
Mike Morgan (M26),2:15:11,15,15 / 7,M25-29,2:15:11,USA
Kyle O'brien (M26),2:15:13,16,16 / 8,M25-29,2:15:13,USA
Brandon Leslie (M30),2:15:20,17,17 / 7,M30-34,2:15:20,USA
Luke Humphrey (M25),2:15:22,18,18 / 9,M25-29,2:15:22,USA
John Yuda (M27),2:15:23,19,19 / 10,M25-29,2:15:23,TANZANIA
Jason Hartmann (M25),2:15:50,20,20 / 11,M25-29,2:15:50,USA
Wilson Onsare (M30),2:16:12,21,21 / 8,M30-34,2:16:12,KENYA
Nicholas Arciniaga (M23),2:16:58,22,22 / 2,M20-24,2:16:58,"Fountain Valley, CA, USA"
Marty Rosendahl (M28),2:17:05,23,23 / 12,M25-29,2:17:05,USA
Josh Ordway (M26),2:17:13,24,24 / 13,M25-29,2:17:13,"Fairborn, OH, USA"
Chris Seaton (M27),2:17:32,25,25 / 14,M25-29,2:17:32,"Raleigh, NC, USA"
Jacinto Odilon (M36),2:18:43,26,26 / 2,M35-39,2:18:43,"Zinacantepec, MEXICO"
John Lucas (M26),2:18:50,27,27 / 15,M25-29,2:18:50,"Eugene, OR, USA"
Dave Ernsberger (M24),2:18:56,28,28 / 3,M20-24,2:18:56,USA
Dan Sutton (M26),2:19:18,29,29 / 16,M25-29,2:19:18,"Madison, WI, USA"
Donovan Fellows (M27),2:19:23,30,30 / 17,M25-29,2:19:23,"Woodbury, MN, USA"
Justin Young (M27),2:19:25,31,31 / 18,M25-29,2:19:25,"Superior, CO, USA"
John Mentzer (M30),2:19:33,32,32 / 9,M30-34,2:19:33,"Monterey, CA, USA"
Jason Ryf (M35),2:19:37,33,33 / 3,M35-39,2:19:37,"Oshkosh, WI, USA"
Jason Warick (M33),2:19:39,34,34 / 10,M30-34,2:19:39,"Saskatoon, CANADA"
Pat Rizzo (M23),2:20:12,35,35 / 4,M20-24,2:20:12,USA
Matt Levassiur (M25),2:20:15,36,36 / 19,M25-29,2:20:15,"Alamosa, CO, USA"
Justin Patananan (M26),2:20:19,37,37 / 20,M25-29,2:20:19,"Palmdale, CA, USA"
David Gramlich (M24),2:20:19,38,38 / 5,M20-24,2:20:19,"Boardman, OH, USA"
Matt Pelletier (M27),2:20:26,39,39 / 21,M25-29,2:20:26,"Warwick, RI, USA"
Patrick Moulton (M24),2:20:27,40,40 / 6,M20-24,2:20:27,"Pelham, NH, USA"
David Williams (M35),2:20:28,41,41 / 4,M35-39,2:20:28,"Milwaukee, WI, USA"
Corey Stelljes (M25),2:20:32,42,42 / 22,M25-29,2:20:32,"Madison, WI, USA"
Antonio Arce (M29),2:20:32,43,43 / 23,M25-29,2:20:32,"Mammoth Lakes, CA, USA"
Marc A Jeuland (M27),2:20:33,44,44 / 24,M25-29,2:20:33,"Carrboro, NC, USA"
Karl Dusen (M24),2:20:35,45,45 / 7,M20-24,2:20:35,"New York, NY, USA"
Nicholas Stanko (M25),2:20:37,46,46 / 25,M25-29,2:20:37,"Haslett, MI, USA"
Berhane Adere (F33),2:20:42,47,1 / 1,F30-34,2:20:42,ETHIOPIA
Galina Bogomolova (F29),2:20:47,48,2 / 1,F25-29,2:20:47,RUSSIAN FEDERATION
Gene Mitchell (M39),2:20:48,49,47 / 5,M35-39,2:20:48,"Ardmore, PA, USA"
Donnie Franzen (M27),2:20:49,50,48 / 26,M25-29,2:20:49,"Chicago, IL, USA"
Christopher Wehrman (M30),2:20:55,51,49 / 11,M30-34,2:20:55,"Chicago, IL, USA"
Pete Gilman (M31),2:20:57,52,50 / 12,M30-34,2:20:57,"Rochester, MN, USA"
Todd Snyder (M29),2:21:00,53,51 / 27,M25-29,2:21:00,USA
Eric M Post (M27),2:21:00,54,52 / 28,M25-29,2:21:00,"Centreville, VA, USA"
Thomas Kutter (M26),2:21:05,55,53 / 29,M25-29,2:21:05,"Loganville, GA, USA"
Garick Hill (M25),2:21:18,56,54 / 30,M25-29,2:21:18,"Winston-Salem, NC, USA"
David Vedrine (M35),2:21:45,57,55 / 6,M35-39,2:21:40,"Meung Sur Loire, FRANCE"
Jonathan Little (M25),2:21:48,58,56 / 31,M25-29,2:21:48,"Kansas City, MO, USA"
Nathan W Wadsworth (M24),2:21:51,59,57 / 8,M20-24,2:21:51,"Andover, KS, USA"
Edward Callinan (M32),2:21:56,60,58 / 13,M30-34,2:21:56,"Haddonfield, NJ, USA"
Alan T Horton (M26),2:21:58,61,59 / 32,M25-29,2:21:58,"Knoxville, TN, USA"
