Last Name,First Name,Division,Country,BIB,Overall Place,Time,seconds,Year,Gender
Kiplagat,Florence,25-29,KEN,101,23,02:21:32,8492.0,2016,F
Kiplagat,Edna,35-39,KEN,102,28,02:23:28,8608.0,2016,F
Kipketer,Valentine,20-24,KEN,104,30,02:23:41,8621.0,2016,F
Rionoripo,Purity,20-24,KEN,108,35,02:24:47,8687.0,2016,F
Melese,Yebrgual,25-29,ETH,106,36,02:24:49,8689.0,2016,F
Baysa,Atsede,25-29,ETH,103,54,02:28:53,8933.0,2016,F
Burla,Serena,30-34,USA,110,61,02:30:40,9040.0,2016,F
Mierzejewska,Agnieszka,30-34,POL,114,74,02:32:13,9133.0,2016,F
Crouch,Sarah,25-29,USA,115,89,02:33:48,9228.0,2016,F
Gray,Alia,25-29,USA,117,91,02:34:00,9240.0,2016,F
Knowles,Laurie,35-39,USA,118,104,02:36:01,9361.0,2016,F
Ross,Freya,30-34,GBR,111,123,02:37:50,9470.0,2016,F
Philbrook,Lauren,25-29,USA,119,125,02:38:00,9480.0,2016,F
Chrisman,Caitlin,30-34,USA,120,140,02:38:47,9527.0,2016,F
Heckert,Kristen,25-29,USA,124,149,02:39:37,9577.0,2016,F
Polley,Emma,25-29,USA,123,165,02:40:56,9656.0,2016,F
Scott,Amanda,25-29,USA,125,192,02:42:45,9765.0,2016,F
Roman-Duval,Julia,30-34,USA,121,194,02:42:49,9769.0,2016,F
Andre,Stephanie,30-34,USA,403,195,02:43:07,9787.0,2016,F
Sawyer,Julie,30-34,USA,479,233,02:45:25,9925.0,2016,F
Ino,Mitsuko,30-34,JPN,128,253,02:46:23,9983.0,2016,F
Ryan,Sophie,25-29,AUS,126,265,02:46:56,10016.0,2016,F
Bauer,Caroline,30-34,USA,407,274,02:47:17,10037.0,2016,F
Mendoza,Salome,25-29,BOL,463,284,02:47:40,10060.0,2016,F
Anderson,Mallory,25-29,USA,402,285,02:47:41,10061.0,2016,F
Snyder,Kati,30-34,USA,485,294,02:48:12,10092.0,2016,F
Drynan,Allison,40-44,CAN,423,313,02:48:50,10130.0,2016,F
Kelly,Harriott,25-29,USA,444,334,02:49:19,10159.0,2016,F
Maranzano,Jennifer,40-44,USA,456,336,02:49:21,10161.0,2016,F
Selert Faraud,Kir,25-29,USA,482,344,02:49:30,10170.0,2016,F
Lockyer,Karen,35-39,NZL,324,350,02:49:40,10180.0,2016,F
Jaswell,Megan,25-29,USA,436,351,02:49:41,10181.0,2016,F
Kersjes,Lauren,20-24,USA,445,357,02:49:52,10192.0,2016,F
Steinbacher,Dani,30-34,USA,489,360,02:50:08,10208.0,2016,F
Cook,Dani,30-34,USA,418,364,02:50:13,10213.0,2016,F
Michmerhuizen,Nicole,20-24,USA,464,368,02:50:18,10218.0,2016,F
Norbo,Carter,25-29,USA,471,390,02:50:57,10257.0,2016,F
Johannsen,Denise,30-34,GER,437,399,02:51:05,10265.0,2016,F
Delvo,Emily,20-24,USA,4195,436,02:51:56,10316.0,2016,F
Hernandez,Cibelle,40-44,MEX,432,456,02:52:32,10352.0,2016,F
Laughner,Kelby,20-24,USA,453,466,02:52:45,10365.0,2016,F
Perkins,Lauren,30-34,USA,473,471,02:52:48,10368.0,2016,F
Burke,Betsy,30-34,USA,414,477,02:53:01,10381.0,2016,F
Belyavin,Julia,35-39,GBR,410,503,02:53:30,10410.0,2016,F
Crowe,Heather,25-29,USA,2177,508,02:53:35,10415.0,2016,F
Moody,Tera,35-39,USA,113,510,02:53:40,10420.0,2016,F
Martz,Marissa,25-29,USA,460,518,02:53:54,10434.0,2016,F
Cieslak,Kylen,25-29,USA,415,530,02:54:09,10449.0,2016,F
Wang,Alex,20-24,USA,494,542,02:54:17,10457.0,2016,F
Begue,Gwenaelle,30-34,FRA,409,565,02:54:42,10482.0,2016,F
Birth,Carrie,30-34,USA,411,575,02:54:55,10495.0,2016,F
Beckwith,Christina,30-34,USA,382,582,02:55:07,10507.0,2016,F
Mcguire,Jessica,35-39,USA,2531,596,02:55:24,10524.0,2016,F
Kitayama,Dina,25-29,USA,448,599,02:55:30,10530.0,2016,F
Coogan,Laura,25-29,USA,417,616,02:55:51,10551.0,2016,F
Scofield,Bret,25-29,USA,481,620,02:55:57,10557.0,2016,F
Akhmedova,Oksana,25-29,RUS,401,623,02:56:01,10561.0,2016,F
Pishny,Eleanor,30-34,USA,474,632,02:56:17,10577.0,2016,F
Wrenn,Bean,40-44,USA,498,640,02:56:26,10586.0,2016,F
Hamstra-Wright,Karrie,35-39,USA,429,645,02:56:32,10592.0,2016,F
Fox,Emily,25-29,USA,4235,652,02:56:37,10597.0,2016,F
Barbour,Hannah,20-24,USA,1356,660,02:56:49,10609.0,2016,F
Horn,Sarah,30-34,USA,434,667,02:56:59,10619.0,2016,F
Spehar,Elizabeth,25-29,USA,486,677,02:57:07,10627.0,2016,F
Walker,Jennifer,30-34,USA,787,682,02:57:11,10631.0,2016,F
Dumont,Claudia,35-39,BRA,424,706,02:57:33,10653.0,2016,F
Baliga,Sr. Stephanie,25-29,USA,406,723,02:57:47,10667.0,2016,F
Meyer,Lauren,25-29,USA,4468,748,02:58:08,10688.0,2016,F
Whittaker,Kelly,30-34,USA,6325,749,02:58:08,10688.0,2016,F
Manuel Silva,Samares,25-29,BRA,1255,761,02:58:15,10695.0,2016,F
Chua,Catherine,40-44,USA,3278,777,02:58:26,10706.0,2016,F
Blackman,Camille,20-24,USA,2055,789,02:58:34,10714.0,2016,F
Quintero Petris,Margarita,25-29,MEX,2248,796,02:58:38,10718.0,2016,F
Henstrom,Stephanie,40-44,USA,431,797,02:58:39,10719.0,2016,F
Onishi,Annie,25-29,USA,4199,798,02:58:39,10719.0,2016,F
Manuel,Lauren,30-34,USA,455,801,02:58:40,10720.0,2016,F
Rasch,Silvana,40-44,GUA,475,807,02:58:45,10725.0,2016,F
Bogantes Gonzalez,Diana,25-29,CRC,412,829,02:59:01,10741.0,2016,F
Gries,Samantha,25-29,USA,3029,833,02:59:04,10744.0,2016,F
Fukushima,Wakana,30-34,JPN,2037,834,02:59:05,10745.0,2016,F
Ranson,Caitlin,30-34,USA,798,854,02:59:13,10753.0,2016,F
Viele,Rachel,35-39,USA,4052,877,02:59:22,10762.0,2016,F
Waslen,Kathryn,30-34,CAN,390,900,02:59:30,10770.0,2016,F
Reyes,Melissa,30-34,USA,3138,901,02:59:31,10771.0,2016,F
Kniaziew Gervais,Blaire,40-44,CAN,449,902,02:59:32,10772.0,2016,F
Marshall,Wendy,40-44,USA,458,915,02:59:41,10781.0,2016,F
Weldy,Carrie,35-39,USA,496,918,02:59:42,10782.0,2016,F
Knuchel,Kathrin,35-39,SUI,1091,947,03:00:02,10802.0,2016,F
Allen,Riki,25-29,USA,3025,961,03:00:15,10815.0,2016,F
Bruijn,Merel,25-29,NED,3171,965,03:00:17,10817.0,2016,F
Kos,Lindsay,25-29,USA,3160,966,03:00:17,10817.0,2016,F
Junqueira,Mariana,35-39,BRA,439,975,03:00:28,10828.0,2016,F
Filut,Dara,35-39,USA,3217,997,03:00:40,10840.0,2016,F
Craddick,Karen,30-34,USA,1089,1010,03:00:51,10851.0,2016,F
Smith,Molly,35-39,USA,2082,1013,03:00:53,10853.0,2016,F
Laurence,Whitney,30-34,USA,384,1014,03:00:57,10857.0,2016,F
Miranda,Catalina,40-44,CRC,465,1016,03:00:59,10859.0,2016,F
Staton,Pamela,25-29,USA,487,1033,03:01:19,10879.0,2016,F
Thomas,Ann,30-34,USA,492,1040,03:01:26,10886.0,2016,F
Kohlmeier,Amanda,30-34,CAN,383,1044,03:01:31,10891.0,2016,F
