Last Name,First Name,Division,Country,BIB,Overall Place,Time,seconds,Year,Gender
Tura Abdiwak,Seifu,20-24,ETH,3,1,02:06:12,7572.0,2021,M
Rupp,Galen,35-39,USA,9,2,02:06:35,7595.0,2021,M
Kiptanui,Eric,30-34,KEN,7,3,02:06:51,7611.0,2021,M
Suzuki,Kengo,25-29,JPN,5,4,02:08:50,7730.0,2021,M
Tamru Aredo,Shifera,20-24,ETH,6,5,02:09:39,7779.0,2021,M
Mickow,Colin,30-34,USA,15,6,02:13:31,8011.0,2021,M
Montanez,Nico,25-29,USA,22,7,02:13:55,8035.0,2021,M
Kipyego,Reuben Kiprop,25-29,KEN,2,8,02:14:24,8064.0,2021,M
Fischer,Reed,25-29,USA,30,9,02:14:41,8081.0,2021,M
Given,Wilkerson,30-34,USA,16,10,02:14:55,8095.0,2021,M
Panning,Zachery,25-29,USA,35,11,02:15:04,8104.0,2021,M
Thomson,Jacob,25-29,USA,37,12,02:15:49,8149.0,2021,M
Young,Clayton,25-29,USA,31,13,02:16:07,8167.0,2021,M
Wiley,Turner,25-29,USA,26,14,02:16:51,8211.0,2021,M
Derrick,Chris,30-34,USA,19,15,02:18:02,8282.0,2021,M
Izewski,Josh,30-34,USA,20,16,02:18:49,8329.0,2021,M
Butler,Ian,30-34,USA,12,17,02:20:01,8401.0,2021,M
Phillips,Jonathan,25-29,USA,620,18,02:20:11,8411.0,2021,M
Havel,Kevin,30-34,USA,515,19,02:20:40,8440.0,2021,M
Sayenko,Mike,35-39,USA,21,20,02:22:15,8535.0,2021,M
Chepngetich,Ruth,25-29,KEN,102,21,02:22:31,8551.0,2021,F
Schneiderman,Benjamin,25-29,USA,652,22,02:22:55,8575.0,2021,M
Jermann,Tyler,25-29,USA,18,23,02:23:21,8601.0,2021,M
Neff,Calum,35-39,CAN,594,24,02:23:47,8627.0,2021,M
Ammons,Mitchell,30-34,USA,402,25,02:23:56,8636.0,2021,M
Bates,Emma,25-29,USA,107,26,02:24:20,8660.0,2021,F
Beavin,Zack,25-29,USA,415,27,02:24:29,8669.0,2021,M
O'Gara,David,25-29,USA,601,28,02:24:35,8675.0,2021,M
Medina,Oscar,25-29,USA,29,29,02:24:46,8686.0,2021,M
Lustgarten,Brett,30-34,USA,27,30,02:24:53,8693.0,2021,M
Deso,Chalu,20-24,ETH,38,31,02:24:56,8696.0,2021,M
Remillard,Charles,25-29,USA,634,32,02:25:05,8705.0,2021,M
La Mere,Ian,25-29,USA,34,33,02:25:09,8709.0,2021,M
Diltz,Alexander,25-29,USA,468,34,02:25:38,8738.0,2021,M
Kendell,Ben,25-29,USA,33,35,02:25:40,8740.0,2021,M
O'Shea,Ronan,20-24,USA,609,36,02:25:53,8753.0,2021,M
Hensley,Matt,30-34,USA,518,37,02:26:10,8770.0,2021,M
Abdi,Abdisamed,25-29,USA,32,38,02:26:54,8814.0,2021,M
Parks,Jason,30-34,USA,611,39,02:27:13,8833.0,2021,M
Olberding,Scott,30-34,USA,602,40,02:27:17,8837.0,2021,F
Hall,Sara,35-39,USA,103,41,02:27:19,8839.0,2021,M
Fyock,Chris,30-34,USA,491,42,02:27:53,8873.0,2021,M
Binzak,Johnny,25-29,USA,420,43,02:28:08,8888.0,2021,M
Ashe,Eric,30-34,USA,408,44,02:28:18,8898.0,2021,F
D'Amato,Keira,35-39,USA,105,45,02:28:22,8902.0,2021,M
Chow,Hon Nip Hanniel,20-24,HKG,2026,46,02:28:34,8914.0,2021,M
Roeser,Kurt,30-34,USA,28,47,02:28:35,8915.0,2021,M
Weisenberger,Curtis,30-34,USA,690,48,02:28:45,8925.0,2021,M
Ross,Nick,30-34,USA,641,49,02:28:56,8936.0,2021,F
Kiplagat,Vivian Jerono,25-29,KEN,104,50,02:29:14,8954.0,2021,M
Fanta,Gizachew,30-34,ISR,483,51,02:29:15,8955.0,2021,M
Craighead,Daniel,30-34,USA,455,52,02:29:21,8961.0,2021,M
Martinez,Juan,30-34,COL,1128,53,02:29:57,8997.0,2021,M
Cowlin,Joe,25-29,USA,713,54,02:30:12,9012.0,2021,M
Williams,Nathanael,25-29,USA,698,55,02:30:13,9013.0,2021,F
Krifchin,Maegan,30-34,USA,116,56,02:30:17,9017.0,2021,M
Ornelas,Zachary,30-34,USA,606,57,02:30:27,9027.0,2021,M
McRae,Audie,35-39,USA,7194,58,02:31:18,9078.0,2021,M
Sedbrook,Cody,25-29,USA,658,59,02:31:29,9089.0,2021,M
Hillard,Matthew,30-34,USA,520,60,02:31:30,9090.0,2021,M
Liddell,John,30-34,USA,9112,61,02:31:34,9094.0,2021,M
Melly,David,25-29,USA,575,62,02:31:43,9103.0,2021,F
Verdon,Carrie,25-29,USA,128,63,02:31:51,9111.0,2021,M
