Last Name,First Name,Division,Country,BIB,Overall Place,Time,seconds,Year,Gender
Kiptum,Kelvin,20-24,KEN,2,1,02:00:35,7235.0,2023,M
Kipruto,Benson,30-34,KEN,1,2,02:04:02,7442.0,2023,M
Abdi,Bashir,30-34,BEL,3,3,02:04:32,7472.0,2023,M
Korir,John,25-29,KEN,7,4,02:05:09,7509.0,2023,M
Tura Abdiwak,Seifu,25-29,ETH,6,5,02:05:29,7529.0,2023,M
Mantz,Conner,25-29,USA,10,6,02:07:47,7667.0,2023,M
Young,Clayton,30-34,USA,25,7,02:08:00,7680.0,2023,M
Rupp,Galen,35-39,USA,9,8,02:08:48,7728.0,2023,M
Chelanga,Sam,35-39,USA,29,9,02:08:50,7730.0,2023,M
Ichida,Takashi,30-34,JPN,12,10,02:08:57,7737.0,2023,M
Shrader,Brian,30-34,USA,27,11,02:09:46,7786.0,2023,M
Kiptoo,Wesley,20-24,KEN,31,12,02:10:28,7828.0,2023,M
McDonald,Matt,30-34,USA,16,13,02:10:34,7834.0,2023,M
Reichow,Joel,30-34,USA,26,14,02:10:37,7837.0,2023,M
Colley,Andrew,30-34,USA,22,15,02:11:22,7882.0,2023,M
Salvano,Kevin,25-29,USA,24,16,02:11:26,7886.0,2023,M
Wolde,Dawit,30-34,ETH,5,17,02:11:33,7893.0,2023,M
Lara,Frank,25-29,USA,23,18,02:12:57,7977.0,2023,M
Gusman,Jordan,25-29,MLT,33,19,02:13:13,7993.0,2023,M
Kiselev,Stepan,35-39,RUS,611,20,02:13:26,8006.0,2023,M
Nonaka,Masashi,25-29,JPN,18,22,02:14:58,8098.0,2023,M
Tsuda,Masaki,20-24,JPN,20,23,02:15:24,8124.0,2023,M
Winter,Connor,30-34,USA,32,25,02:15:51,8151.0,2023,M
Jermann,Tyle,30-34,"Jermann, Tyle",854,26,02:16:23,8183.0,2023,M
Heninger,Julian,25-29,USA,18054,27,02:16:48,8208.0,2023,M
Vazquez Olivas,Eric,20-24,USA,793,28,02:17:04,8224.0,2023,M
Payne,Benjami,40-44,"Payne, Benjami",856,30,02:17:15,8235.0,2023,M
Dickson,Cameron,25-29,USA,501,31,02:17:15,8235.0,2023,M
McDonnell,Kevin,30-34,USA,663,32,02:17:22,8242.0,2023,M
Higashi,Mizuki,25-29,JPN,21,34,02:17:55,8275.0,2023,M
