,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
0,Dibaba,Mare,20-24,ETH,103,50,02:25:37,8737.0,2014,F
1,Kiplagat,Florence,25-29,KEN,102,53,02:25:57,8757.0,2014,F
2,Dibaba,Birhane,20-24,ETH,106,61,02:27:02,8822.0,2014,F
3,Hastings,Amy,30-34,USA,107,62,02:27:03,8823.0,2014,F
4,Santucci,Clara,25-29,USA,108,101,02:32:21,9141.0,2014,F
5,Crouch,Sarah,25-29,USA,116,103,02:32:44,9164.0,2014,F
6,Burka,Gelete,25-29,ETH,127,116,02:34:17,9257.0,2014,F
7,White,Melissa,30-34,USA,111,117,02:34:19,9259.0,2014,F
8,Jimison,Lauren,20-24,USA,114,119,02:34:38,9278.0,2014,F
9,Cummings,Sarah,25-29,USA,120,122,02:34:47,9287.0,2014,F
10,Scherf,Lindsey,25-29,USA,110,146,02:37:26,9446.0,2014,F
11,Thomas,Wendy,35-39,USA,112,150,02:37:38,9458.0,2014,F
12,Portis,Laura,25-29,USA,115,161,02:38:06,9486.0,2014,F
13,Maxson,Allison,25-29,USA,494,170,02:39:16,9556.0,2014,F
14,Bevins-Lazzara,Whitney,30-34,USA,123,182,02:40:12,9612.0,2014,F
15,Vongvorachoti,Jane,30-34,USA,407,187,02:40:40,9640.0,2014,F
16,Uhl,Lisa,25-29,USA,109,189,02:40:51,9651.0,2014,F
17,Duke,Andrea,35-39,USA,161,192,02:41:05,9665.0,2014,F
18,Crowley,Loring,30-34,USA,411,204,02:41:39,9699.0,2014,F
19,Blackham,Merrilee,35-39,USA,457,215,02:41:59,9719.0,2014,F
20,Greenwood,Heidi,25-29,USA,121,224,02:42:22,9742.0,2014,F
21,Heckert,Kristen,25-29,USA,190,230,02:42:32,9752.0,2014,F
22,Composti,Jeanna,30-34,USA,186,232,02:42:34,9754.0,2014,F
23,Phillips,Caitlin,30-34,USA,170,239,02:42:45,9765.0,2014,F
24,Stephan,Faith,25-29,USA,182,244,02:42:54,9774.0,2014,F
25,Varanka,Alexandra,25-29,USA,166,252,02:43:19,9799.0,2014,F
26,Lee,Rosy,35-39,USA,398,253,02:43:20,9800.0,2014,F
27,Calle,Maria Elena,35-39,ECU,199,254,02:43:26,9806.0,2014,F
28,Tessier,Lyndsay,35-39,CAN,453,308,02:45:39,9939.0,2014,F
29,Muir,Tina,25-29,GBR,124,312,02:45:51,9951.0,2014,F
30,Moeller,Erin,35-39,USA,178,313,02:45:54,9954.0,2014,F
31,Schindel,Caitlin,20-24,CAN,172,315,02:45:58,9958.0,2014,F
32,Olsen,Courtney,25-29,USA,169,324,02:46:21,9981.0,2014,F
33,Kidd,Angela,35-39,USA,439,328,02:46:31,9991.0,2014,F
34,Kurian,Emily,30-34,USA,177,333,02:46:39,9999.0,2014,F
35,Knurr,Hanna,20-24,USA,183,343,02:47:11,10031.0,2014,F
36,Harnish,Laura,25-29,USA,197,347,02:47:27,10047.0,2014,F
37,Drynan,Allison,35-39,CAN,473,358,02:47:52,10072.0,2014,F
38,Staton,Pamela,25-29,USA,425,368,02:48:02,10082.0,2014,F
39,McClellan,Samantha,25-29,USA,400,379,02:48:22,10102.0,2014,F
40,Firth,Charlotte,25-29,GBR,467,384,02:48:31,10111.0,2014,F
41,Bower,Samantha,20-24,USA,399,387,02:48:36,10116.0,2014,F
42,Smart,Kristin,25-29,CAN,195,396,02:49:00,10140.0,2014,F
43,Ortiz,Angela,30-34,USA,165,403,02:49:12,10152.0,2014,F
44,Morrison,Amber,30-34,USA,163,405,02:49:15,10155.0,2014,F
45,Colligan,Nora,30-34,USA,396,414,02:49:26,10166.0,2014,F
46,Casey,Nicole,25-29,USA,489,432,02:49:56,10196.0,2014,F
47,Li,Ji,30-34,CHN,428,433,02:49:57,10197.0,2014,F
48,Weber,Anna,25-29,USA,450,434,02:50:01,10201.0,2014,F
49,Lowry,Theresa,40-44,USA,464,436,02:50:02,10202.0,2014,F
50,McLean,Pauline,35-39,CAN,474,451,02:50:50,10250.0,2014,F
51,Wachter,Erin,25-29,USA,181,453,02:50:56,10256.0,2014,F
52,Uible,Elisabeth,25-29,USA,180,456,02:50:59,10259.0,2014,F
53,Chyr,Nicole,35-39,USA,442,459,02:51:05,10265.0,2014,F
54,Selert,Kir,25-29,USA,434,469,02:51:23,10283.0,2014,F
55,Lockyer,Karen,35-39,NZL,193,475,02:51:29,10289.0,2014,F
56,Moll,Angela,35-39,USA,164,476,02:51:31,10291.0,2014,F
57,Johannsen,Denise,30-34,GER,860,482,02:51:39,10299.0,2014,F
58,Grevenstuk,Michelle,30-34,USA,200,495,02:52:01,10321.0,2014,F
59,Heitzman,Ariel,30-34,USA,162,514,02:52:45,10365.0,2014,F
60,Manley,Pamela,35-39,USA,476,526,02:52:56,10376.0,2014,F
61,Gaughan,Caitlin,25-29,USA,6061,532,02:53:06,10386.0,2014,F
62,Perkins,Lauren,30-34,USA,198,556,02:53:46,10426.0,2014,F
63,Baliga,Sr. Stephanie,25-29,USA,155,557,02:53:49,10429.0,2014,F
64,Ytterstad,Nina,50-54,NOR,437,563,02:53:59,10439.0,2014,F
65,Noordstar,Christina,35-39,USA,451,570,02:54:04,10444.0,2014,F
66,Davis,Mckale,30-34,USA,491,571,02:54:08,10448.0,2014,F
67,Howery,Katie,25-29,USA,447,576,02:54:21,10461.0,2014,F
68,Duval,Dari,30-34,USA,1522,588,02:54:40,10480.0,2014,F
69,Grebinski,Jayne,25-29,CAN,420,602,02:54:57,10497.0,2014,F
70,Walters,Ingrid,40-44,USA,184,603,02:54:58,10498.0,2014,F
71,Paige Osborne,Lauren,30-34,USA,424,605,02:54:59,10499.0,2014,F
72,Lee,Kerry,35-39,USA,488,622,02:55:14,10514.0,2014,F
73,Blankenship,Lauren,30-34,USA,448,626,02:55:16,10516.0,2014,F
74,Clifford,Shambra,30-34,USA,2198,641,02:55:30,10530.0,2014,F
75,Gascoigne-Owens,Johanna,35-39,GBR,417,666,02:55:51,10551.0,2014,F
76,Markham,Kelsey,25-29,USA,462,675,02:55:58,10558.0,2014,F
77,Marquardt,Tamara,25-29,USA,422,676,02:56:00,10560.0,2014,F
78,Niles,Alexandra,30-34,USA,406,680,02:56:03,10563.0,2014,F
79,O'Brien,Caitlin,20-24,USA,5936,681,02:56:03,10563.0,2014,F
80,Yoshizumi,Yuri,25-29,JPN,118,686,02:56:07,10567.0,2014,F
81,Turner,Liz,30-34,USA,179,690,02:56:09,10569.0,2014,F
82,Shaw,Christine,25-29,USA,171,696,02:56:17,10577.0,2014,F
83,Montes,Columba,35-39,MEX,492,701,02:56:22,10582.0,2014,F
84,Burgess,Kristine,25-29,USA,433,706,02:56:25,10585.0,2014,F
85,Kostka,Kristen,30-34,USA,151,707,02:56:26,10586.0,2014,F
86,Dalton,Anna,25-29,USA,436,714,02:56:31,10591.0,2014,F
87,Holte,Tanya,30-34,USA,404,716,02:56:32,10592.0,2014,F
88,Sischo,Lauren,25-29,USA,6143,720,02:56:35,10595.0,2014,F
89,Jaswell,Megan,25-29,USA,443,742,02:57:05,10625.0,2014,F
90,Smith,Miranda,30-34,USA,19185,746,02:57:06,10626.0,2014,F
91,Dandler,Marlene,35-39,USA,454,749,02:57:08,10628.0,2014,F
92,Hernandez,Cibelle,40-44,MEX,1986,752,02:57:09,10629.0,2014,F
93,Young,Lindsey,30-34,USA,463,754,02:57:10,10630.0,2014,F
94,McClain,Shawna,30-34,USA,446,757,02:57:13,10633.0,2014,F
95,Schuham,Marti,45-49,USA,483,767,02:57:21,10641.0,2014,F
96,Hagen,Lindsey,30-34,USA,466,772,02:57:22,10642.0,2014,F
97,Germack,Hayley,25-29,USA,2351,774,02:57:24,10644.0,2014,F
98,Ezer,Neta,30-34,USA,1923,799,02:57:43,10663.0,2014,F
99,Louw,Ingrid,40-44,USA,5336,809,02:57:50,10670.0,2014,F
100,Kipchoge,Eliud,25-29,KEN,2,1,02:04:11,7451.0,2014,M
101,Kitwara,Sammy,25-29,KEN,6,2,02:04:28,7468.0,2014,M
102,Chumba,Dickson,25-29,KEN,7,3,02:04:32,7472.0,2014,M
103,Bekele,Kenenisa,30-34,ETH,1,4,02:05:51,7551.0,2014,M
104,Koech,Bernard,25-29,KEN,5,5,02:08:30,7710.0,2014,M
105,Ghebreslassie,Ghirmay,19 and under,ERI,51,6,02:09:08,7748.0,2014,M
106,Rutto,Lani,25-29,KEN,43,7,02:10:42,7842.0,2014,M
107,Korir,Wesley,30-34,KEN,8,8,02:11:09,7869.0,2014,M
108,Curtis,Bobby,25-29,USA,17,9,02:11:20,7880.0,2014,M
109,Kobayashi,Koji,25-29,JPN,9,10,02:11:43,7903.0,2014,M
110,Riley,Jake,25-29,USA,35,11,02:13:16,7996.0,2014,M
111,Proctor,Gabe,20-24,USA,30,12,02:13:45,8025.0,2014,M
112,Landry,Christo,25-29,USA,23,13,02:14:30,8070.0,2014,M
113,Young,Tim,25-29,USA,27,14,02:14:40,8080.0,2014,M
114,Morgan,Mike,30-34,USA,21,15,02:14:42,8082.0,2014,M
115,Okamoto,Naoki,30-34,JPN,16,16,02:15:19,8119.0,2014,M
116,Sasaki,Satoru,25-29,JPN,10,17,02:15:25,8125.0,2014,M
117,Fukuyama,Ryosuke,30-34,JPN,12,18,02:15:33,8133.0,2014,M
118,Leon,Craig,25-29,USA,19,19,02:16:00,8160.0,2014,M
119,Trujillo,Carlos,25-29,USA,20,20,02:16:49,8209.0,2014,M
120,Yonezawa,Rui,25-29,JPN,15,21,02:17:30,8250.0,2014,M
121,Witt,Jason,20-24,USA,75,22,02:17:31,8251.0,2014,M
122,Dewitt,John,20-24,USA,279,23,02:17:38,8258.0,2014,M
123,Llano,Matthew,25-29,USA,36,24,02:17:43,8263.0,2014,M
124,Rizzo,Patrick,30-34,USA,18,25,02:18:04,8284.0,2014,M
125,Davis,Jesse,30-34,USA,32,26,02:18:13,8293.0,2014,M
126,Humphrey,Luke,30-34,USA,22,27,02:18:19,8299.0,2014,M
127,Gregg,Brendan,25-29,USA,37,28,02:18:30,8310.0,2014,M
128,Christiansen,Jed,25-29,USA,304,29,02:18:55,8335.0,2014,M
129,Frazer,Thomas,30-34,IRL,336,30,02:19:53,8393.0,2014,M
130,Blume,Matthew,30-34,USA,362,31,02:20:28,8428.0,2014,M
131,Mora,Jameson,30-34,USA,25,32,02:20:38,8438.0,2014,M
132,Hensley,Matt,25-29,USA,345,33,02:20:53,8453.0,2014,M
133,Chichester,Tim,25-29,USA,334,34,02:21:03,8463.0,2014,M
134,Krong,Jake,30-34,USA,344,35,02:21:12,8472.0,2014,M
135,Kremske,Dan,25-29,USA,33,36,02:21:17,8477.0,2014,M
136,Macias,Mario,30-34,USA,24,37,02:22:47,8567.0,2014,M
137,Weaver,Andrew,20-24,USA,341,38,02:22:50,8570.0,2014,M
138,Barrett,Matt,25-29,USA,350,39,02:23:09,8589.0,2014,M
139,Dessaix-Chin,Russell,35-39,AUS,327,40,02:23:12,8592.0,2014,M
140,Johns,Ryan,25-29,USA,329,41,02:23:36,8616.0,2014,M
141,Marol,Matthew,20-24,USA,77,42,02:23:51,8631.0,2014,M
142,Zdroik,Evan,25-29,USA,326,43,02:24:03,8643.0,2014,M
143,Finnel,Brian,25-29,USA,88,44,02:24:39,8679.0,2014,M
144,Roeder,Madison,25-29,USA,335,45,02:24:55,8695.0,2014,M
145,Glaz,Daniel,30-34,USA,352,46,02:25:17,8717.0,2014,M
146,Carpenter,Joseph,25-29,USA,305,47,02:25:20,8720.0,2014,M
147,Hendrix,Austin,25-29,USA,363,48,02:25:26,8726.0,2014,M
148,Tenepaguay,Leonardo,25-29,ECU,40,49,02:25:34,8734.0,2014,M
149,Jonaitis,Jeff,30-34,USA,308,51,02:25:39,8739.0,2014,M
150,Takata,Nobuaki,35-39,JPN,13,52,02:25:39,8739.0,2014,M
151,Fyock,Chris,25-29,USA,91,54,02:26:05,8765.0,2014,M
152,Kosgei,Simon,20-24,KEN,143,55,02:26:08,8768.0,2014,M
153,Rotut Kipkalum,Richard,25-29,KEN,145,56,02:26:09,8769.0,2014,M
154,Paul,Charlie,25-29,USA,360,57,02:26:13,8773.0,2014,M
155,Dewitt,Jonathan,20-24,USA,306,58,02:26:35,8795.0,2014,M
156,Kienzle,Ryan,25-29,USA,39,59,02:26:38,8798.0,2014,M
157,Mariano,Gregory,25-29,USA,302,60,02:26:48,8808.0,2014,M
158,Moore,Joe,30-34,USA,144,63,02:27:05,8825.0,2014,M
159,Laskowski,Conrad,25-29,USA,378,64,02:27:14,8834.0,2014,M
160,Pearson,Neil,40-44,GBR,374,65,02:27:25,8845.0,2014,M
161,Morales,Jonnatan,30-34,MEX,62,66,02:27:30,8850.0,2014,M
162,Suda,Matt,25-29,CAN,323,67,02:27:45,8865.0,2014,M
163,Davidson,Aaron,30-34,USA,84,68,02:27:57,8877.0,2014,M
164,Wallor,Eric,30-34,USA,301,69,02:28:04,8884.0,2014,M
165,Van Veen,Jeremy,35-39,USA,313,70,02:28:30,8910.0,2014,M
166,Favela,Emisael,35-39,MEX,386,71,02:28:47,8927.0,2014,M
167,McCurdy,Matt,35-39,USA,82,72,02:28:59,8939.0,2014,M
168,Munoz,Jose,25-29,USA,311,73,02:29:06,8946.0,2014,M
169,Capriolo,Michael,30-34,USA,321,74,02:29:21,8961.0,2014,M
170,Denny,Jeffrey,20-24,USA,355,75,02:29:27,8967.0,2014,M
171,Piedra Aviles,Bayron,30-34,ECU,41,76,02:29:29,8969.0,2014,M
172,Williams,Richard,25-29,USA,1217,77,02:29:29,8969.0,2014,M
173,Wilson,Mickey,30-34,USA,1013,78,02:29:35,8975.0,2014,M
174,Lecointre,Jacques-Sylvain,30-34,FRA,1600,79,02:29:37,8977.0,2014,M
175,Young,Phil,25-29,USA,76,80,02:29:45,8985.0,2014,M
176,Ohara,Chip,30-34,USA,93,81,02:29:52,8992.0,2014,M
177,Duncan,Andrew,45-49,USA,85,82,02:29:53,8993.0,2014,M
178,Weisenberger,Curtis,25-29,USA,4072,83,02:30:17,9017.0,2014,M
179,Caprario,Nicholas,25-29,USA,1800,84,02:30:21,9021.0,2014,M
180,Akita,James,30-34,USA,361,85,02:30:36,9036.0,2014,M
181,Braithwaite,Matthew,25-29,USA,320,86,02:30:41,9041.0,2014,M
182,Paris,Hunter,30-34,USA,324,87,02:30:50,9050.0,2014,M
183,You,Peiquan,25-29,CHN,370,88,02:30:55,9055.0,2014,M
184,Prom,William,25-29,USA,349,89,02:31:12,9072.0,2014,M
185,Henry,Justin,30-34,USA,307,90,02:31:18,9078.0,2014,M
186,Benton,Jacob,20-24,USA,358,91,02:31:25,9085.0,2014,M
187,Pinter,Daniel,25-29,USA,100,92,02:31:28,9088.0,2014,M
188,Oliver,Kevin,20-24,USA,4011,93,02:31:55,9115.0,2014,M
189,Roth,Mike,25-29,USA,387,94,02:31:57,9117.0,2014,M
190,Chorney,Matthew,25-29,USA,351,95,02:31:58,9118.0,2014,M
191,Troester,Nathan,20-24,USA,278,96,02:31:59,9119.0,2014,M
192,Denny,Brian,25-29,USA,87,97,02:32:06,9126.0,2014,M
193,Tarneja,Ankur,30-34,USA,86,98,02:32:11,9131.0,2014,M
194,Soprano,Steve,25-29,USA,495,99,02:32:12,9132.0,2014,M
195,Parks,Jason,30-34,USA,312,100,02:32:13,9133.0,2014,M
196,Bareikis,Arturs,25-29,LAT,61,102,02:32:42,9162.0,2014,M
197,Montenegro,Lionel,25-29,USA,319,104,02:33:05,9185.0,2014,M
198,Derks,Andy,30-34,USA,79,105,02:33:06,9186.0,2014,M
199,Mascote,Yonatan,25-29,USA,2554,106,02:33:12,9192.0,2014,M
200,Kiplagat,Florence,25-29,KEN,101,33,02:23:33,8613.0,2015,F
201,Melese,Yebrgual,25-29,ETH,106,35,02:23:43,8623.0,2015,F
202,Dibaba,Birhane,20-24,ETH,102,40,02:24:24,8664.0,2015,F
203,Fukushi,Kayoko,30-34,JPN,108,41,02:24:25,8665.0,2015,F
204,Seboka,Mulu,30-34,ETH,105,44,02:24:40,8680.0,2015,F
205,Assefa,Meskerem,30-34,ETH,109,48,02:25:11,8711.0,2015,F
206,Kastor,Deena,40-44,USA,103,67,02:27:47,8867.0,2015,F
207,Nukuri,Diane,30-34,BDI,110,76,02:29:13,8953.0,2015,F
208,Draskau Petersson,Jessica,35-39,DEN,113,80,02:30:07,9007.0,2015,F
209,Hall,Sara,30-34,USA,120,90,02:31:14,9074.0,2015,F
210,Partridge,Susan,35-39,GBR,112,94,02:31:31,9091.0,2015,F
211,Crouch,Sarah,25-29,USA,117,106,02:32:51,9171.0,2015,F
212,Britton,Fionnuala,30-34,IRL,115,112,02:33:15,9195.0,2015,F
213,Juodeskaite,Monika,20-24,LTU,124,126,02:34:29,9269.0,2015,F
214,Arenas,Maritza,25-29,MEX,3023,166,02:38:21,9501.0,2015,F
215,Moody,Tera,30-34,USA,114,181,02:39:32,9572.0,2015,F
216,Hyland,Rachel,25-29,USA,189,201,02:41:26,9686.0,2015,F
217,Harnish,Laura,25-29,USA,168,206,02:42:09,9729.0,2015,F
218,Moeller,Erin,35-39,USA,339,215,02:42:27,9747.0,2015,F
219,Kersjes,Lauren,20-24,USA,324,259,02:44:28,9868.0,2015,F
220,Calle,Maria Elena,40-44,ECU,345,262,02:44:33,9873.0,2015,F
221,Pineda,Yolymar,25-29,VEN,185,273,02:44:52,9892.0,2015,F
222,Ward,Taylor,25-29,USA,119,277,02:45:01,9901.0,2015,F
223,Bernardi,Alexandra,25-29,USA,328,294,02:45:50,9950.0,2015,F
224,Schaper,Marie,25-29,USA,402,295,02:45:54,9954.0,2015,F
225,Schiemann,Katie,25-29,USA,332,297,02:46:01,9961.0,2015,F
226,Fulton,Naomi,25-29,USA,197,304,02:46:25,9985.0,2015,F
227,Ueno,Eiko,40-44,JPN,126,311,02:46:39,9999.0,2015,F
228,Njeim,Chirine,30-34,LBN,337,312,02:46:41,10001.0,2015,F
229,Wrenn,Bean,40-44,USA,353,315,02:46:47,10007.0,2015,F
230,Moats,Joy,35-39,USA,360,319,02:46:52,10012.0,2015,F
231,Quinn,Julianne,25-29,USA,346,322,02:47:05,10025.0,2015,F
232,Overbeck Crawford,Christina,25-29,USA,358,323,02:47:06,10026.0,2015,F
233,Ortiz,Angela,35-39,USA,323,331,02:47:22,10042.0,2015,F
234,Smith,Makenna,20-24,USA,198,333,02:47:28,10048.0,2015,F
235,Scott,Amanda,25-29,USA,362,335,02:47:29,10049.0,2015,F
236,Rediger,Andrea,25-29,USA,299,337,02:47:31,10051.0,2015,F
