,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
0,Mary,Keitany,30-34,KEN,104,25,2:25:07,8707,2014,F
1,Jemima,Sumgong,25-29,KEN,106,27,2:25:10,8710,2014,F
2,Sara,Moreira,25-29,POR,116,31,2:26:00,8760,2014,F
3,Jelena,Prokopcuka,35-39,LAT,103,32,2:26:15,8775,2014,F
4,Desiree,Linden,30-34,USA,109,40,2:28:11,8891,2014,F
5,Firehiwot,Dado,30-34,ETH,108,41,2:28:36,8916,2014,F
6,Valeria,Straneo,35-39,ITA,107,44,2:29:24,8964,2014,F
7,Buzunesh,Deba,25-29,ETH,102,52,2:31:40,9100,2014,F
8,Annie,Bersagel,30-34,USA,115,59,2:33:02,9182,2014,F
9,Deena,Kastor,40-44,USA,110,61,2:33:18,9198,2014,F
10,Ana Dulce,Felix,30-34,POR,112,74,2:35:33,9333,2014,F
11,Edna,Kiplagat,30-34,KEN,105,79,2:36:24,9384,2014,F
12,Kara,Goucher,35-39,USA,111,87,2:37:03,9423,2014,F
13,Lauren,Kleppin,25-29,USA,114,107,2:39:13,9553,2014,F
14,Alia,Gray,25-29,USA,126,117,2:39:43,9583,2014,F
15,Marci,Gage,25-29,USA,120,124,2:40:00,9600,2014,F
16,Hilary,Dionne,25-29,USA,121,131,2:40:54,9654,2014,F
17,Rocio Cantara,Rojas,25-29,PER,131,182,2:45:30,9930,2014,F
18,Kate,Pallardy,25-29,USA,128,185,2:45:46,9946,2014,F
19,Katie,Conlon,20-24,USA,2887,213,2:47:28,10048,2014,F
20,Michelle,Lilienthal,30-34,USA,119,260,2:49:16,10156,2014,F
21,Claudia,Gelsomino,45-49,ITA,142,306,2:50:56,10256,2014,F
22,Amy,Clements,30-34,GBR,5472,338,2:52:32,10352,2014,F
23,Liza,Howard,25-29,CAN,268,350,2:53:07,10387,2014,F
24,Jules,Bennett,30-34,AUS,5311,365,2:53:40,10420,2014,F
25,Megan,Foster,35-39,USA,261,379,2:53:58,10438,2014,F
26,Susan,Empey,45-49,USA,258,383,2:54:09,10449,2014,F
27,Alexandra,Bernardi,25-29,USA,251,384,2:54:09,10449,2014,F
28,Jane,Fardell,30-34,AUS,123,400,2:54:42,10482,2014,F
29,Paula,Keating,45-49,CAN,144,457,2:56:06,10566,2014,F
30,Karin,Schon,50-54,SWE,4703,493,2:56:55,10615,2014,F
31,Lori,Durward,40-44,CAN,2004,500,2:57:05,10625,2014,F
32,Katie,Casto,30-34,USA,297,509,2:57:12,10632,2014,F
33,Margaret,McMahon,45-49,IRL,295,511,2:57:13,10633,2014,F
34,Erika,Bagatin,40-44,ITA,249,518,2:57:17,10637,2014,F
35,Kathleen,O'Neil,25-29,USA,5486,580,2:58:17,10697,2014,F
36,Andrea,Imhof,25-29,USA,269,582,2:58:18,10698,2014,F
37,Elizabeth,Bailey,25-29,USA,250,605,2:58:38,10718,2014,F
38,Nancy,Clayton,25-29,USA,12913,615,2:58:49,10729,2014,F
39,Mallory,Anderson,20-24,USA,248,623,2:58:53,10733,2014,F
40,Monika,Kalbacher,35-39,AUT,3306,630,2:58:56,10736,2014,F
41,Andrea,Danne,50-54,GER,2816,639,2:59:02,10742,2014,F
42,Sylvie,Tramoy,40-44,FRA,287,679,2:59:39,10779,2014,F
43,Johanna,Nilsson,30-34,SWE,574,684,2:59:40,10780,2014,F
44,Heather,Schulz,40-44,USA,285,691,2:59:47,10787,2014,F
45,Nicola,Holdsworth,25-29,USA,2688,695,2:59:49,10789,2014,F
46,Ruth,Loos,40-44,BEL,294,701,2:59:53,10793,2014,F
47,Carolina,Pena,40-44,CHI,280,705,2:59:57,10797,2014,F
48,Stina,Moe,40-44,NOR,6197,712,3:00:02,10802,2014,F
49,Amy Marie,Oldenburg,35-39,USA,198,731,3:00:17,10817,2014,F
50,Rachel,Glasson,40-44,AUS,145,752,3:00:45,10845,2014,F
51,Arianne Field,Perry,25-29,USA,260,753,3:00:45,10845,2014,F
52,Tammy,Richards,40-44,USA,282,767,3:01:05,10865,2014,F
53,Caitrin,Demchko,25-29,USA,5365,790,3:01:29,10889,2014,F
