,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
0,Shifflett,Michael,18-39,USA,33608,1,02:19:57,8397,2020,M
1,Dhanoa,Gaven,18-39,GBR,13694,2,02:23:20,8600,2020,M
2,Charnley,Dan,18-39,,43109,3,02:24:24,8664,2020,M
3,Baker,Matthew,18-39,GBR,29052,4,02:28:26,8906,2020,M
4,Seddon,Dale,18-39,GBR,18572,6,02:29:18,8958,2020,M
5,Davidson,Aran,18-39,GBR,27995,7,02:29:30,8970,2020,M
6,Welborn,Karl,18-39,GBR,25194,8,02:30:41,9041,2020,M
7,Dickson-bell,Arthur,18-39,GBR,16539,9,02:31:40,9100,2020,M
8,Hoad,James,18-39,GBR,25658,10,02:32:11,9131,2020,M
9,Hogan,Sean,18-39,GBR,24367,11,02:32:22,9142,2020,M
10,Maloney,James,18-39,GBR,10198,12,02:32:38,9158,2020,M
11,Darby,Alan,18-39,GBR,15561,13,02:32:52,9172,2020,M
12,Lewis,Simon,40-44,GBR,17358,14,02:33:12,9192,2020,M
13,Cheung,Yee wo,18-39,HKG,2530,15,02:34:04,9244,2020,M
14,Pilsbury,Craig,40-44,GBR,10325,16,02:34:17,9257,2020,M
15,Hsiao,Sheng ta,40-44,TWN,6270,17,02:34:50,9290,2020,M
16,Parker,Ben,18-39,GBR,15949,18,02:34:58,9298,2020,M
17,Dwyer,James,18-39,GBR,20208,19,02:35:02,9302,2020,M
18,Underwood,Brian,40-44,GBR,18157,20,02:35:19,9319,2020,M
19,Lillis,Joseph,40-44,GBR,27234,21,02:35:41,9341,2020,M
20,Jaksevicius,Andrius,18-39,GBR,26835,22,02:35:56,9356,2020,M
21,Papail,Leo,40-44,CAN,1088,23,02:36:11,9371,2020,M
22,Marshall,Gary,40-44,GBR,26083,24,02:36:15,9375,2020,M
23,Hegarty,Gary,18-39,GBR,24145,25,02:36:20,9380,2020,M
24,Reis,Brian,18-39,USA,7598,26,02:36:23,9383,2020,M
25,Porter,Adam,40-44,GBR,17369,26,02:36:23,9383,2020,M
26,Kidd,Jack,18-39,GBR,15574,28,02:36:32,9392,2020,M
27,Altan,Ugur,18-39,GBR,12644,29,02:36:52,9412,2020,M
28,Jones,Mark,40-44,GBR,11544,30,02:36:53,9413,2020,M
29,King,Richard,40-44,GBR,15788,31,02:37:02,9422,2020,M
30,Muniyallappa,Nanjundappa,18-39,IND,42417,32,02:37:10,9430,2020,M
31,Heritage,Lloyd,18-39,GBR,22091,33,02:37:52,9472,2020,M
