Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
Mary,Keitany,30-34,KEN,101,19,2:24:25,8665,2015,F
Aselefech,Mergia,30-34,ETH,109,21,2:25:32,8732,2015,F
Tigist,Tufa,25-29,ETH,105,22,2:25:50,8750,2015,F
Sara,Moreira,30-34,POR,103,23,2:25:53,8753,2015,F
Christelle,Daunay,40-44,FRA,111,26,2:26:57,8817,2015,F
Priscah,Jeptoo,30-34,KEN,108,27,2:27:03,8823,2015,F
Laura,Thweatt,25-29,USA,115,29,2:28:23,8903,2015,F
Jelena,Prokopcuka,35-39,LAT,104,30,2:28:46,8926,2015,F
Anna,Incerti,35-39,ITA,112,47,2:33:13,9193,2015,F
Caroline,Rotich,30-34,KEN,102,48,2:33:19,9199,2015,F
Rocio Cantara,Rojas,25-29,PER,1102,70,2:37:05,9425,2015,F
Cassie,Fien,30-34,AUS,120,85,2:38:53,9533,2015,F
Teresa,McWalters,30-34,USA,124,103,2:40:37,9637,2015,F
Marisol,Romero,30-34,MEX,117,119,2:41:50,9710,2015,F
Beverly,Ramos,25-29,PRI,121,120,2:41:56,9716,2015,F
Emma,Nordling,30-34,SWE,235,155,2:43:28,9808,2015,F
Changqin,Ding,20-24,CHN,116,170,2:44:02,9842,2015,F
Caroline,Wostmann,30-34,RSA,119,177,2:44:26,9866,2015,F
Roberta,Groner,35-39,USA,674,193,2:45:30,9930,2015,F
Hilary,Corno,40-44,USA,140,201,2:45:53,9953,2015,F
Liza,Howard,25-29,CAN,220,265,2:49:05,10145,2015,F
Mikaela,Larsson,30-34,SWE,228,268,2:49:09,10149,2015,F
Clare,Geraghty,25-29,AUS,122,270,2:49:19,10159,2015,F
Maria Yolanda,Gutierrez,30-34,ESP,1266,375,2:52:59,10379,2015,F
Megan,Jaswell,25-29,USA,223,388,2:53:21,10401,2015,F
Ildiko,Gaal,20-24,USA,5211,444,2:54:24,10464,2015,F
Veronica,Jackson,25-29,USA,222,448,2:54:31,10471,2015,F
Johanna,Nilsson,35-39,SWE,263,466,2:54:53,10493,2015,F
Gwenaelle,Begue,25-29,FRA,3041,467,2:54:56,10496,2015,F
Ji,Li,30-34,CHN,2370,488,2:55:27,10527,2015,F
Janet,Collar,40-44,USA,205,522,2:56:13,10573,2015,F
Ana,Johnson,30-34,USA,224,526,2:56:15,10575,2015,F
Cibelle,Hernandez,40-44,MEX,2274,530,2:56:19,10579,2015,F
Stefanie,Doll,25-29,GER,2157,537,2:56:25,10585,2015,F
Tammy,Richards,40-44,USA,241,540,2:56:29,10589,2015,F
Margaret,McMahon,45-49,IRL,232,549,2:56:35,10595,2015,F
Una,Plant,45-49,IRL,3550,557,2:56:54,10614,2015,F
Danielle,Bryan,30-34,AUS,5065,607,2:57:39,10659,2015,F
Lillie,Romeiser,30-34,USA,5503,616,2:57:46,10666,2015,F
Anna,Alberti,25-29,ITA,1815,620,2:57:48,10668,2015,F
Amy,Shohet,40-44,USA,243,624,2:57:50,10670,2015,F
Danielle,Wagner,35-39,PAN,3718,627,2:57:55,10675,2015,F
Dianne,Fisher,30-34,USA,211,635,2:58:06,10686,2015,F
Mallory,Anderson,20-24,USA,201,644,2:58:13,10693,2015,F
Dawn,Sudol,30-34,USA,3662,652,2:58:23,10703,2015,F
Qian,Zhu,30-34,CHN,248,657,2:58:26,10706,2015,F
Cecilia,Davis-Hayes,25-29,USA,4182,671,2:58:35,10715,2015,F
Paula,Keating,45-49,CAN,149,714,2:59:03,10743,2015,F
Jessica,Chichester,25-29,USA,203,732,2:59:19,10759,2015,F
Mirella,Bergamo,45-49,ITA,1063,733,2:59:19,10759,2015,F
Stephanie,Andre,30-34,USA,202,740,2:59:23,10763,2015,F
Brooke,Adams,25-29,USA,1006,741,2:59:24,10764,2015,F
Ana,Veiga,35-39,BRA,6572,744,2:59:24,10764,2015,F
Jessica,Gonzales,25-29,USA,214,759,2:59:34,10774,2015,F
Liz,Wilson,45-49,USA,19993,786,2:59:59,10799,2015,F
Celine,Monnard,25-29,SUI,4778,803,3:00:08,10808,2015,F
Paige,Yellen,35-39,USA,247,821,3:00:26,10826,2015,F
Oksana,Akhmedova,25-29,RUS,6008,825,3:00:30,10830,2015,F
Lauren,Manuel,30-34,USA,231,854,3:01:05,10865,2015,F
Maria Elena,Quintana,25-29,USA,767,858,3:01:10,10870,2015,F
Anne,Cottrell,40-44,USA,206,874,3:01:20,10880,2015,F
Chandler,Rainey,30-34,USA,240,879,3:01:24,10884,2015,F
Jessica,Calvo,40-44,FRA,2089,887,3:01:28,10888,2015,F
Alysia,Dusseau,30-34,USA,210,889,3:01:30,10890,2015,F
Leigh,Sharek,25-29,USA,242,915,3:01:55,10915,2015,F
Tara,Wilson,35-39,USA,832,945,3:02:23,10943,2015,F
Lyne,Bessette,40-44,CAN,4067,953,3:02:36,10956,2015,F
Samantha,Gardner,30-34,USA,212,968,3:02:47,10967,2015,F
Sworupa,Khadka,35-39,NEP,297,997,3:03:07,10987,2015,F
Shay,Phillips,25-29,USA,5431,"1,018",3:03:28,11008,2015,F
Jillian,Arnold,25-29,USA,6032,"1,024",3:03:36,11016,2015,F
Keri,Olson,40-44,USA,3503,"1,027",3:03:38,11018,2015,F
Kristen,Olsen,25-29,USA,298,"1,030",3:03:39,11019,2015,F
Molly,Rouillard,25-29,USA,2582,"1,041",3:03:51,11031,2015,F
Kimberly,Hicks,35-39,USA,3303,"1,073",3:04:20,11060,2015,F
Locky,Trachsel,45-49,USA,5658,"1,076",3:04:22,11062,2015,F
Nansy,Sanchez,45-49,MEX,3607,"1,091",3:04:34,11074,2015,F
Jessica,Bashaw,30-34,USA,3034,"1,092",3:04:35,11075,2015,F
Hilary,Young,30-34,USA,6743,"1,098",3:04:41,11081,2015,F
Francesca,DeLucia,25-29,USA,208,"1,105",3:04:46,11086,2015,F
Karen,Jablonski,30-34,USA,4408,"1,125",3:04:58,11098,2015,F
Federica,Moroni,40-44,ITA,8570,"1,145",3:05:17,11117,2015,F
Karen de Saint,Phalle,45-49,USA,207,"1,147",3:05:19,11119,2015,F
Anna,Grummon,25-29,USA,7202,"1,156",3:05:28,11128,2015,F
Sabine,Gentieu,40-44,FRA,5224,"1,184",3:05:58,11158,2015,F
Karima,Makrof,35-39,SWE,3424,"1,195",3:06:10,11170,2015,F
Jennifer,Elvin,30-34,IRL,6239,"1,207",3:06:20,11180,2015,F
Catriona,Probert,30-34,GBR,4662,"1,209",3:06:21,11181,2015,F
Guro,Sundal,40-44,NOR,3663,"1,211",3:06:21,11181,2015,F
Allison,Gayle,35-39,USA,5193,"1,213",3:06:27,11187,2015,F
Columba,Montes,35-39,USA,3471,"1,217",3:06:32,11192,2015,F
Natsuki,Ikeda,25-29,USA,7505,"1,233",3:06:49,11209,2015,F
Laura,Link,35-39,USA,6450,"1,256",3:07:06,11226,2015,F
Kristin,Saad,30-34,USA,2593,"1,258",3:07:07,11227,2015,F
Rhea,Deroian,25-29,USA,209,"1,278",3:07:26,11246,2015,F
Jane,Grace,40-44,GBR,7198,"1,311",3:07:51,11271,2015,F
Ana,Cadreche,40-44,USA,1095,"1,321",3:07:54,11274,2015,F
Barbara,Finnegan,30-34,USA,6261,"1,326",3:07:59,11279,2015,F
Nicole,Green,25-29,USA,215,"1,329",3:08:01,11281,2015,F
